20230512 com.sparta.mc.App INFO Employee Records Retrieved: 1000
20230512 com.sparta.mc.App WARNING Employee Records Contain Bad Record: Emp ID
20230512 com.sparta.mc.App INFO Added Employee Record in Binary Tree for: Bumgarner
20230512 com.sparta.mc.App INFO Added Employee Record in Binary Tree for: Rojo
20230512 com.sparta.mc.App INFO Added Employee Record in Binary Tree for: Krawczyk
20230512 com.sparta.mc.App INFO Added Employee Record in Binary Tree for: Jason
20230512 com.sparta.mc.App INFO Added Employee Record in Binary Tree for: Forest
20230512 com.sparta.mc.App INFO Added Employee Record in Binary Tree for: Wan
20230512 com.sparta.mc.App INFO Added Employee Record in Binary Tree for: Farrow
20230512 com.sparta.mc.App INFO Added Employee Record in Binary Tree for: Fernandez
20230512 com.sparta.mc.App INFO Added Employee Record in Binary Tree for: Jackman
20230512 com.sparta.mc.App INFO Added Employee Record in Binary Tree for: Paddock
20230512 com.sparta.mc.App INFO Added Employee Record in Binary Tree for: Manning
20230512 com.sparta.mc.App INFO Added Employee Record in Binary Tree for: Hafner
20230512 com.sparta.mc.App INFO Added Employee Record in Binary Tree for: Pearman
20230512 com.sparta.mc.App INFO Added Employee Record in Binary Tree for: Forman
20230512 com.sparta.mc.App INFO Added Employee Record in Binary Tree for: Osorio
20230512 com.sparta.mc.App INFO Added Employee Record in Binary Tree for: Simard
20230512 com.sparta.mc.App INFO Added Employee Record in Binary Tree for: Stoner
20230512 com.sparta.mc.App INFO Added Employee Record in Binary Tree for: Mattison
20230512 com.sparta.mc.App INFO Added Employee Record in Binary Tree for: Maeda
20230512 com.sparta.mc.App INFO Added Employee Record in Binary Tree for: Winter
20230512 com.sparta.mc.App INFO Added Employee Record in Binary Tree for: Ferrari
20230512 com.sparta.mc.App INFO Added Employee Record in Binary Tree for: Thies
20230512 com.sparta.mc.App INFO Added Employee Record in Binary Tree for: Rosa
20230512 com.sparta.mc.App INFO Added Employee Record in Binary Tree for: Weissman
20230512 com.sparta.mc.App INFO Added Employee Record in Binary Tree for: Niemeyer
20230512 com.sparta.mc.App INFO Added Employee Record in Binary Tree for: Ford
20230512 com.sparta.mc.App INFO Added Employee Record in Binary Tree for: Norman
20230512 com.sparta.mc.App INFO Added Employee Record in Binary Tree for: Ibarra
20230512 com.sparta.mc.App INFO Added Employee Record in Binary Tree for: Sands
20230512 com.sparta.mc.App INFO Added Employee Record in Binary Tree for: Dodd
20230512 com.sparta.mc.App INFO Added Employee Record in Binary Tree for: Buss
20230512 com.sparta.mc.App INFO Added Employee Record in Binary Tree for: Shields
20230512 com.sparta.mc.App INFO Added Employee Record in Binary Tree for: Corrigan
20230512 com.sparta.mc.App INFO Added Employee Record in Binary Tree for: Baugh
20230512 com.sparta.mc.App INFO Added Employee Record in Binary Tree for: Arbuckle
20230512 com.sparta.mc.App INFO Added Employee Record in Binary Tree for: Oyler
20230512 com.sparta.mc.App INFO Added Employee Record in Binary Tree for: Fortenberry
20230512 com.sparta.mc.App INFO Added Employee Record in Binary Tree for: Hail
20230512 com.sparta.mc.App INFO Added Employee Record in Binary Tree for: Owen
20230512 com.sparta.mc.App INFO Added Employee Record in Binary Tree for: Lambert
20230512 com.sparta.mc.App INFO Added Employee Record in Binary Tree for: Traylor
20230512 com.sparta.mc.App INFO Added Employee Record in Binary Tree for: Bradshaw
20230512 com.sparta.mc.App INFO Added Employee Record in Binary Tree for: Sarmiento
20230512 com.sparta.mc.App INFO Added Employee Record in Binary Tree for: Bilodeau
20230512 com.sparta.mc.App INFO Added Employee Record in Binary Tree for: Saavedra
20230512 com.sparta.mc.App INFO Added Employee Record in Binary Tree for: Alessi
20230512 com.sparta.mc.App INFO Added Employee Record in Binary Tree for: Crittenden
20230512 com.sparta.mc.App INFO Added Employee Record in Binary Tree for: Fessler
20230512 com.sparta.mc.App INFO Added Employee Record in Binary Tree for: Chasse
20230512 com.sparta.mc.App INFO Added Employee Record in Binary Tree for: Girard
20230512 com.sparta.mc.App INFO Added Employee Record in Binary Tree for: Moye
20230512 com.sparta.mc.App INFO Added Employee Record in Binary Tree for: Greening
20230512 com.sparta.mc.App INFO Added Employee Record in Binary Tree for: Beall
20230512 com.sparta.mc.App INFO Added Employee Record in Binary Tree for: Folse
20230512 com.sparta.mc.App INFO Added Employee Record in Binary Tree for: Legault
20230512 com.sparta.mc.App INFO Added Employee Record in Binary Tree for: Brune
20230512 com.sparta.mc.App INFO Added Employee Record in Binary Tree for: Ruelas
20230512 com.sparta.mc.App INFO Added Employee Record in Binary Tree for: Shotwell
20230512 com.sparta.mc.App INFO Added Employee Record in Binary Tree for: Antonio
20230512 com.sparta.mc.App INFO Added Employee Record in Binary Tree for: Wick
20230512 com.sparta.mc.App INFO Added Employee Record in Binary Tree for: Owings
20230512 com.sparta.mc.App INFO Added Employee Record in Binary Tree for: Gowan
20230512 com.sparta.mc.App INFO Added Employee Record in Binary Tree for: Lomas
20230512 com.sparta.mc.App INFO Added Employee Record in Binary Tree for: Decker
20230512 com.sparta.mc.App INFO Added Employee Record in Binary Tree for: Lemmons
20230512 com.sparta.mc.App INFO Added Employee Record in Binary Tree for: Walz
20230512 com.sparta.mc.App INFO Added Employee Record in Binary Tree for: Joshua
20230512 com.sparta.mc.App INFO Added Employee Record in Binary Tree for: Mcvay
20230512 com.sparta.mc.App INFO Added Employee Record in Binary Tree for: Coward
20230512 com.sparta.mc.App INFO Added Employee Record in Binary Tree for: Bechtold
20230512 com.sparta.mc.App INFO Added Employee Record in Binary Tree for: Imhoff
20230512 com.sparta.mc.App INFO Added Employee Record in Binary Tree for: Irick
20230512 com.sparta.mc.App INFO Added Employee Record in Binary Tree for: Yager
20230512 com.sparta.mc.App INFO Added Employee Record in Binary Tree for: Badillo
20230512 com.sparta.mc.App INFO Added Employee Record in Binary Tree for: Baggett
20230512 com.sparta.mc.App INFO Added Employee Record in Binary Tree for: Odaniel
20230512 com.sparta.mc.App INFO Added Employee Record in Binary Tree for: Hower
20230512 com.sparta.mc.App INFO Added Employee Record in Binary Tree for: Ontiveros
20230512 com.sparta.mc.App INFO Added Employee Record in Binary Tree for: Stanger
20230512 com.sparta.mc.App INFO Added Employee Record in Binary Tree for: Chadwick
20230512 com.sparta.mc.App INFO Added Employee Record in Binary Tree for: Engram
20230512 com.sparta.mc.App INFO Added Employee Record in Binary Tree for: Reimer
20230512 com.sparta.mc.App INFO Added Employee Record in Binary Tree for: Clyburn
20230512 com.sparta.mc.App INFO Added Employee Record in Binary Tree for: Peloquin
20230512 com.sparta.mc.App INFO Added Employee Record in Binary Tree for: Woody
20230512 com.sparta.mc.App INFO Added Employee Record in Binary Tree for: Mackinnon
20230512 com.sparta.mc.App INFO Added Employee Record in Binary Tree for: Wortman
20230512 com.sparta.mc.App INFO Added Employee Record in Binary Tree for: Ordonez
20230512 com.sparta.mc.App INFO Added Employee Record in Binary Tree for: Buettner
20230512 com.sparta.mc.App INFO Added Employee Record in Binary Tree for: Santoyo
20230512 com.sparta.mc.App INFO Added Employee Record in Binary Tree for: Mercer
20230512 com.sparta.mc.App INFO Added Employee Record in Binary Tree for: Theis
20230512 com.sparta.mc.App INFO Added Employee Record in Binary Tree for: Knott
20230512 com.sparta.mc.App INFO Added Employee Record in Binary Tree for: Vaught
20230512 com.sparta.mc.App INFO Added Employee Record in Binary Tree for: Shotwell
20230512 com.sparta.mc.App INFO Added Employee Record in Binary Tree for: Hudspeth
20230512 com.sparta.mc.App INFO Added Employee Record in Binary Tree for: Whiteley
20230512 com.sparta.mc.App INFO Added Employee Record in Binary Tree for: Holmes
20230512 com.sparta.mc.App INFO Added Employee Record in Binary Tree for: Bosch
20230512 com.sparta.mc.App INFO Added Employee Record in Binary Tree for: Mcmorris
20230512 com.sparta.mc.App INFO Added Employee Record in Binary Tree for: Hazel
20230512 com.sparta.mc.App INFO Added Employee Record in Binary Tree for: Kowalski
20230512 com.sparta.mc.App INFO Added Employee Record in Binary Tree for: Rohr
20230512 com.sparta.mc.App INFO Added Employee Record in Binary Tree for: Beall
20230512 com.sparta.mc.App INFO Added Employee Record in Binary Tree for: Rayborn
20230512 com.sparta.mc.App INFO Added Employee Record in Binary Tree for: Lindstrom
20230512 com.sparta.mc.App INFO Added Employee Record in Binary Tree for: Ness
20230512 com.sparta.mc.App INFO Added Employee Record in Binary Tree for: Jalbert
20230512 com.sparta.mc.App INFO Added Employee Record in Binary Tree for: Darden
20230512 com.sparta.mc.App INFO Added Employee Record in Binary Tree for: Irizarry
20230512 com.sparta.mc.App INFO Added Employee Record in Binary Tree for: Brewton
20230512 com.sparta.mc.App INFO Added Employee Record in Binary Tree for: Hairston
20230512 com.sparta.mc.App INFO Added Employee Record in Binary Tree for: Paradise
20230512 com.sparta.mc.App INFO Added Employee Record in Binary Tree for: Deegan
20230512 com.sparta.mc.App INFO Added Employee Record in Binary Tree for: Wescott
20230512 com.sparta.mc.App INFO Added Employee Record in Binary Tree for: Lopez
20230512 com.sparta.mc.App INFO Added Employee Record in Binary Tree for: Wille
20230512 com.sparta.mc.App INFO Added Employee Record in Binary Tree for: Haggard
20230512 com.sparta.mc.App INFO Added Employee Record in Binary Tree for: Tooley
20230512 com.sparta.mc.App INFO Added Employee Record in Binary Tree for: Katz
20230512 com.sparta.mc.App INFO Added Employee Record in Binary Tree for: Mccaffrey
20230512 com.sparta.mc.App INFO Added Employee Record in Binary Tree for: Avelar
20230512 com.sparta.mc.App INFO Added Employee Record in Binary Tree for: Engstrom
20230512 com.sparta.mc.App INFO Added Employee Record in Binary Tree for: Coombs
20230512 com.sparta.mc.App INFO Added Employee Record in Binary Tree for: Nadeau
20230512 com.sparta.mc.App INFO Added Employee Record in Binary Tree for: Sublett
20230512 com.sparta.mc.App INFO Added Employee Record in Binary Tree for: Flake
20230512 com.sparta.mc.App INFO Added Employee Record in Binary Tree for: Colombo
20230512 com.sparta.mc.App INFO Added Employee Record in Binary Tree for: Gutshall
20230512 com.sparta.mc.App INFO Added Employee Record in Binary Tree for: Trantham
20230512 com.sparta.mc.App INFO Added Employee Record in Binary Tree for: Hayman
